"Country where consulate is located","Schengen State","Consulate","Uniform visas applied for","Multiple entry uniform visas (MEVs) issued","Total uniform visas not issued","Not issued rate for uniform visas"
"Slovenia","Germany","Ljubljana","137","2","132","97.8%"
"Nigeria","Sweden","Abuja","29","4","37","90.2%"
"Serbia","Portugal","Belgrade","99","88","10","9.9%"
"Ecuador","Germany","Quito","3,489","3,132","345","9.9%"
"Kazakhstan","Poland","Almaty","1,619","1,454","159","9.9%"
"Romania","Italy","Bucharest","469","416","46","9.8%"
"Kenya","Czech Republic","Nairobi","468","421","46","9.8%"
"South Africa","Germany","Pretoria","16,735","15,052","1,630","9.8%"
"China","Italy","Chongqing","1,086","980","106","9.8%"
"Congo (Brazzaville)","Italy","Brazzaville","529","318","52","9.8%"
"Georgia","Italy","Tbilissi","164","147","16","9.8%"
"Israel","Italy","Jerusalem","3,070","2,745","299","9.7%"
"Vietnam","Netherlands","Ho Chi Minh","36","26","3","9.7%"
"Chile","Switzerland","Santiago De Chile","31","28","3","9.7%"
"Saudi Arabia","Denmark","Riyadh","1,383","1,206","129","9.7%"
"Russian Federation","Czech Republic","Moscow","636","575","61","9.6%"
"China","France","Chengdu","1,929","1,535","164","9.6%"
"Philippines","Poland","Manila","1,260","1,112","118","9.6%"
"Cyprus","Italy","Nicosia","1,001","904","96","9.6%"
"Usa","Greece","Atlanta, Ga","288","233","27","9.5%"
"South Korea","Italy","Seoul","242","219","23","9.5%"
"Cambodia","France","Phnom Penh","7,513","6,738","711","9.5%"
"Japan","France","Tokyo","1,200","1,024","108","9.5%"
"South Africa","Spain","Pretoria","10,324","9,123","959","9.5%"
"Namibia","Spain","Windhoek","1,181","1,038","108","9.4%"
