"Schengen State","Country where consulate is located","Consulate","Number of Visa Applications (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas issued (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas not issued","Not issued rate for ATVs and uniform visas"
"Austria","ALBANIA","TIRANA","32","25","7","21.88%"
"Austria","ALGERIA","ALGIERS","596","331","265","44.46%"
"Austria","ARGENTINA","BUENOS AIRES","9","8","1","11.11%"
"Austria","AUSTRALIA","CANBERRA","85","81","4","4.71%"
"Austria","AZERBAIJAN","BAKU","385","372","13","3.38%"
"Austria","BOSNIA AND HERZEGOVINA","SARAJEVO","1,401","1,388","13","0.93%"
"Austria","BRAZIL","BRASILIA","11","11","0",""
"Austria","BULGARIA","SOFIA","227","223","4","1.76%"
"Austria","CANADA","OTTAWA","200","198","2","1.00%"
"Austria","CHILE","SANTIAGO DE CHILE","7","6","1","14.29%"
"Austria","CHINA","BEIJING","493","424","69","14.00%"
"Austria","CHINA","SHANGHAI","85","83","2","2.35%"
"Austria","COLOMBIA","BOGOTA","31","22","9","29.03%"
"Austria","CROATIA","ZAGREB","216","185","31","14.35%"
"Austria","CUBA","HAVANA","200","162","38","19.00%"
"Austria","CYPRUS","NICOSIA","671","660","11","1.64%"
"Austria","EGYPT","CAIRO","615","476","139","22.60%"
"Austria","ETHIOPIA","ADDIS ABEBA","222","176","46","20.72%"
"Austria","GERMANY","MUNICH","133","121","12","9.02%"
"Austria","HONG KONG S.A.R.","HONG KONG","22","22","0",""
"Austria","INDIA","NEW DELHI","1,416","1,078","338","23.87%"
"Austria","INDONESIA","JAKARTA","259","256","3","1.16%"
"Austria","IRAN","TEHERAN","1,310","1,070","241","18.38%"
"Austria","IRELAND","DUBLIN","165","150","15","9.09%"
"Austria","ISRAEL","TEL AVIV","201","169","32","15.92%"
"Austria","JAPAN","TOKYO","39","39","0",""
"Austria","JORDAN","AMMAN","1,578","1,305","273","17.30%"
