"Country where consulate is located","Schengen State","Consulate","Uniform visas applied for","Multiple entry uniform visas (MEVs) issued","Total uniform visas not issued","Not issued rate for uniform visas"
"Slovenia","Germany","Ljubljana","137","2","132","97.8%"
"Nigeria","Sweden","Abuja","29","4","37","90.2%"
"Serbia","Portugal","Belgrade","99","88","10","9.9%"
"Ecuador","Germany","Quito","3,489","3,132","345","9.9%"
"Kazakhstan","Poland","Almaty","1,619","1,454","159","9.9%"
"Romania","Italy","Bucharest","469","416","46","9.8%"
"Kenya","Czech Republic","Nairobi","468","421","46","9.8%"
"South Africa","Germany","Pretoria","16,735","15,052","1,630","9.8%"
"China","Italy","Chongqing","1,086","980","106","9.8%"
"Congo (Brazzaville)","Italy","Brazzaville","529","318","52","9.8%"
"Georgia","Italy","Tbilissi","164","147","16","9.8%"
"Israel","Italy","Jerusalem","3,070","2,745","299","9.7%"
"Vietnam","Netherlands","Ho Chi Minh","36","26","3","9.7%"
"Chile","Switzerland","Santiago De Chile","31","28","3","9.7%"
"Saudi Arabia","Denmark","Riyadh","1,383","1,206","129","9.7%"
"Russian Federation","Czech Republic","Moscow","636","575","61","9.6%"
"China","France","Chengdu","1,929","1,535","164","9.6%"
"Philippines","Poland","Manila","1,260","1,112","118","9.6%"
"Cyprus","Italy","Nicosia","1,001","904","96","9.6%"
"Usa","Greece","Atlanta, Ga","288","233","27","9.5%"
"South Korea","Italy","Seoul","242","219","23","9.5%"
"Cambodia","France","Phnom Penh","7,513","6,738","711","9.5%"
"Japan","France","Tokyo","1,200","1,024","108","9.5%"
"South Africa","Spain","Pretoria","10,324","9,123","959","9.5%"
"Namibia","Spain","Windhoek","1,181","1,038","108","9.4%"
"Azerbaijan","Germany","Baku","13,324","11,986","1,250","9.4%"
"Israel","Finland","Tel Aviv","155","110","13","9.4%"
"Lebanon","France","Beirut","46,072","41,607","4,306","9.4%"
"Oman","France","Muscat","4,292","3,835","400","9.4%"
"South Korea","Austria","Seoul","107","97","10","9.3%"
"Georgia","Latvia","Tbilissi","110","95","10","9.3%"
"Japan","Germany","Tokyo","717","641","66","9.3%"
"Oman","Hungary","Muscat","450","408","42","9.3%"
"Cuba","Hungary","Havana","216","196","20","9.2%"
"Tanzania","Switzerland","Dar Es Salaam","1,117","1,014","103","9.2%"
"Serbia","Italy","Belgrade","597","542","55","9.2%"
"South Africa","Italy","Pretoria","489","444","45","9.2%"
"Morocco","Poland","Rabat","462","414","42","9.2%"
"Myanmar","Italy","Yangon","994","902","90","9.1%"
"Qatar","Germany","Doha","18,357","16,443","1,664","9.1%"
"Brazil","Italy","Recife","22","20","2","9.1%"
"Hungary","Italy","Budapest","11","9","1","9.1%"
"North Macedonia","Austria","Skopje","861","144","78","9.1%"
"Australia","Slovakia","Canberra","10","10","1","9.1%"
"North Macedonia","Sweden","Skopje","5,957","32","537","9.1%"
"South Korea","Portugal","Seoul","67","61","6","9.0%"
"Vietnam","Germany","Hanoi","8,815","7,943","787","9.0%"
"Kazakhstan","Lithuania","Almaty","4,752","4,220","419","9.0%"
"Israel","Malta","Tel Aviv","290","253","25","9.0%"
"Canada","France","Montreal","8,860","7,652","760","9.0%"
"Algeria","Malta","Algiers","2,305","319","1,914","85.7%"
"Kuwait","Czech Republic","Kuwait","5,924","5,396","528","8.9%"
"Canada","Belgium","Montreal","934","771","74","8.8%"
"Thailand","Germany","Bangkok","30,466","27,669","2,669","8.8%"
"Russian Federation","Hungary","St. Petersburg","3,621","3,301","320","8.8%"
"Bulgaria","Slovakia","Sofia","34","31","3","8.8%"
"Qatar","Italy","Doha","9,439","8,588","832","8.8%"
"South Africa","Poland","Pretoria","1,429","1,302","124","8.7%"
"Zimbabwe","France","Harare","2,246","1,990","190","8.7%"
"Philippines","Austria","Manila","2,404","2,195","209","8.7%"
"North Macedonia","France","Skopje","23","21","2","8.7%"
"Mozambique","Portugal","Maputo","9,169","8,374","793","8.7%"
"Kenya","Switzerland","Nairobi","3,394","3,020","293","8.6%"
"Serbia","Germany","Belgrade","926","823","79","8.6%"
"United Kingdom","Malta","London","2,070","1,869","177","8.6%"
"Congo (Democratic Republic)","Greece","Kinshasa","1,867","952","89","8.5%"
"Kuwait","Austria","Kuwait","4,950","4,461","419","8.5%"
"Saudi Arabia","Czech Republic","Riyadh","11,651","10,662","983","8.4%"
"Indonesia","Netherlands","Jakarta","23,738","21,338","1,957","8.4%"
"China","Norway","Beijing","455","417","38","8.4%"
"Georgia","Switzerland","Tbilissi","298","265","25","8.4%"
"Macao S.A.R.","Portugal","Macao","60","55","5","8.3%"
"Usa","Portugal","New Bedford, Ma","314","287","26","8.3%"
"Oman","Netherlands","Muscat","5,554","4,924","450","8.3%"
"Indonesia","Finland","Jakarta","1,981","1,768","160","8.3%"
"Usa","Finland","New York, Ny","892","811","74","8.3%"
"Bosnia And Herzegovina","Hungary","Sarajevo","12","11","1","8.3%"
"Austria","Italy","Vienna","12","11","1","8.3%"
"Laos","Germany","Vientiane","855","777","69","8.2%"
"Mozambique","Italy","Maputo","955","876","78","8.2%"
"Canada","Portugal","Toronto","790","725","65","8.2%"
"South Africa","Portugal","Johannesburg","5,450","5,001","449","8.2%"
"China","Czech Republic","Beijing","587","539","48","8.2%"
"Russian Federation","France","Moscow","64,309","55,285","4,842","8.1%"
"Namibia","Finland","Windhoek","543","489","43","8.0%"
"China","Portugal","Beijing","113","104","9","8.0%"
"China","Spain","Beijing","3,195","2,857","248","8.0%"
"Israel","Spain","Tel Aviv","518","408","40","8.0%"
"Lebanon","Sweden","Beirut","2,107","460","1,612","76.1%"
"Slovakia","Spain","Bratislava","4","1","3","75.0%"
"France","Sweden","Paris","4","1","3","75.0%"
"Algeria","Hungary","Algiers","1,226","310","916","74.7%"
"Pakistan","Sweden","Islamabad","5,907","1,496","4,360","74.4%"
"Morocco","Malta","Casablanca","1,138","292","820","73.7%"
"Senegal","Belgium","Dakar","5,009","1,283","3,409","72.7%"
"Ghana","Malta","Accra","438","114","306","72.5%"
"Greece","Sweden","Athens","8","2","5","71.4%"
"Japan","Lithuania","Tokyo","27","8","19","70.4%"
"South Korea","Lithuania","Seoul","11","3","7","70.0%"
"Azerbaijan","France","Baku","13,847","12,242","1,046","7.9%"
"Kazakhstan","France","Astana","8,334","7,320","628","7.9%"
"Colombia","Italy","Bogota","63","58","5","7.9%"
"Bulgaria","Spain","Sofia","379","333","29","7.9%"
"Israel","Sweden","Tel Aviv","38","35","3","7.9%"
"Canada","Slovenia","Ottawa","66","57","5","7.8%"
"Kazakhstan","Spain","Astana","15,098","13,736","1,155","7.8%"
"Serbia","France","Belgrade","492","438","37","7.8%"
"China","France","Wuhan","1,712","1,434","120","7.7%"
"Costa Rica","Netherlands","San Jose","14","12","1","7.7%"
"Azerbaijan","Poland","Baku","2,078","1,911","161","7.7%"
"Ukraine","Poland","Kyiv","26","24","2","7.7%"
"Romania","Germany","Bucharest","493","451","38","7.7%"
"North Macedonia","Hungary","Skopje","26","24","2","7.7%"
"Taiwan","Hungary","Taipei","13","12","1","7.7%"
"Philippines","Hungary","Manila","484","447","37","7.6%"
"Ireland","Finland","Dublin","431","401","33","7.6%"
"Sao Tome And Principe","Portugal","Sao Tome","4,133","3,819","315","7.6%"
"Moldova","Italy","Chisinau","144","133","11","7.6%"
"Türkiye","Luxembourg","Ankara","1,377","1,234","102","7.6%"
"Saudi Arabia","Netherlands","Riyadh","18,804","17,049","1,400","7.6%"
"United Kingdom","Italy","London","13,638","12,615","1,022","7.5%"
"Azerbaijan","Czech Republic","Baku","2,985","2,760","224","7.5%"
"Usa","Germany","Houston, Tx","1,315","1,175","95","7.5%"
"Thailand","Spain","Bangkok","8,226","7,475","608","7.5%"
"Philippines","France","Manila","26,596","24,330","1,932","7.4%"
"Azerbaijan","Lithuania","Baku","1,243","1,122","90","7.4%"
"United Kingdom","Norway","London","5,160","4,753","380","7.4%"
"Switzerland","France","Geneva","29","25","2","7.4%"
"China","Germany","Chengdu","592","539","43","7.4%"
"Kazakhstan","Hungary","Almaty","9,326","8,639","687","7.4%"
"China","Italy","Beijing","3,221","2,986","235","7.3%"
"Russian Federation","Estonia","St. Petersburg","6,513","6,003","474","7.3%"
"Israel","Switzerland","Tel Aviv","286","265","21","7.3%"
"Israel","Czech Republic","Tel Aviv","223","207","16","7.2%"
"Singapore","Czech Republic","Singapore","181","168","13","7.2%"
"Kuwait","Greece","Kuwait","5,328","4,869","378","7.2%"
"Cuba","Poland","Havana","181","168","13","7.2%"
"Kuwait","Netherlands","Kuwait","10,465","9,414","722","7.1%"
"Philippines","Belgium","Manila","7,179","6,477","492","7.1%"
"Saudi Arabia","France","Jeddah","57,506","51,635","3,990","7.1%"
"Kazakhstan","Germany","Almaty","11,896","10,996","839","7.1%"
"Rwanda","Germany","Kigali","197","140","14","7.1%"
"Saudi Arabia","Germany","Riyadh","34,738","32,016","2,467","7.1%"
